S.No,Name of CCA,Village,Country,Location,Ecosystem Type,Communities,Year of Formation,Data Source,References,,,,,,,,,,,,,,,
263,Pedi Village CCA,"Pedi Village, Peren",India,25.592583|93.829472,Forest,"Tribe: Zeliang, Dialect: Zeliang Tribe",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
264,pekuk,"Longching, Mon",India,26.516139|94.933306,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
265,Peungwalwazang,"Pelelkie, Peren",India,25.56875|93.76,Forest,"Tribe: , Dialect: ",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
266,Pfuchude,"Kami, Phek",India,25.5455|94.26575,Forest,"Tribe: Chakhesang, Dialect: Khezha",2006,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
267,Phaipan,"Phaikholun, Peren",India,25.366306|93.483667,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
268,Phamnyu Yogchong,"Yongnyah, Tuensang",India,26.594389|94.824028,Forest,"Tribe: Phom, Dialect: Phom",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
269,Phesama,"Phesama, Kohima",India,25.626617|94.111814,Forest,"Tribe: Angami, Dialect: Tenyidie",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
270,Phuow,"Pathso, Tuensang",India,26.116639|94.935083,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
271,Phuyo,"Khutsami, Phek",India,25.783358|94.352444,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
272,PKR Biodiversity Conservation,"Phenshunyu Khunyu Ramusinyu, Kohima",India,25.943639|94.156639,Forest,"Tribe: Rengma, Dialect: Rengma",1993,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
273,Poiha,"Totok Chingkho, Mon",India,26.646306|95.029556,Forest,"Tribe: Konyak, Dialect: Konyak",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
274,Ponongem,"Konya, Tuensang",India,26.253056|94.897028,Forest,"Tribe: Chang, Dialect: Chang",1998,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
275,Punglwa Village CCA,"Punglwa, Peren",India,25.622083|93.870778,Forest,"Tribe: Zeliang, Dialect: Zeliang Dialect",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
276,Pvuchenchyu Enung,"Longsa, Wokha",India,26.059194|94.247583,Forest,"Tribe: Lotha, Dialect: Lotha",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
277,Rahjong,"S/Chingnyu, Mon",India,26.722076|95.029206,Forest,"Tribe: Konyak, Dialect: Konyak & S/Chingnyu",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
278,Rangkang Min,"Kangtsung, Mokokchung",India,26.70725|94.705556,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
279,Raphaiphao,"Hongphoi, Mon",India,26.780889|95.019056,Forest,"Tribe: Konyak, Dialect: Konyak",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
280,Rara,"Aliba, Mokokchung",India,26.380593|94.437882,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
281,Rhuyo,"Seyoghung, Kiphire",India,25.8975|94.641944,Forest,"Tribe: Yimchunger Tikher, Dialect: Yimchunger",1995,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
282,Rongnu & Sungkongchiyong,"Merangkong, Mokokchung",India,26.632|94.648611,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
283,Sahuli,"Khewoto, Zunheboto",India,25.911944|94.558889,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
284,Sakraba NASA Forest,"Sakraba, Phek",India,25.616139|94.362,Forest,"Tribe: Chakhesang, Dialect: Chokri",1981,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
285,Saksha,"Mausha, Tuensang",India,26.325333|94.884778,Forest,"Tribe: Chang, Dialect: Chang",1991,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
286,Salhau,"Sailhem, Peren",India,25.454722|93.431722,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
287,Sangkhumti Forest,"Sangkhumti, Kiphire",India,25.914444|94.872222,Forest,"Tribe: Sangtam, Dialect: Sangtam",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
288,Sangpholoki,"Rurrur, Tuensang",India,26.013139|94.84625,Forest,"Tribe: Yimchunger, Dialect: Yimchunger",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
289,Sangphur Reserve,"Sangphur, Kiphire",India,25.831667|94.774444,Forest,"Dialect: Sangtam , Mongzar",2003,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
290,Sangpi,"Litim, Tuensang",India,26.360556|94.667111,Forest,,2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
291,Sangsa,"Sangsa, Mon",India,26.886972|95.107917,Forest,"Tribe: Konyak, Dialect: Konyak",2011,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
292,Sangtsong Forest,"Sangtsong, Kiphire",India,25.835278|94.968889,Forest,"Tribe: Sangtam, Dialect: Sangtam",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
293,Satzukba,"Satzukba, Mokokchung",India,26.471672|94.352347,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
294,Sawie,"Khumiasii, Phek",India,25.671528|94.614444,Forest,"Tribe: Pochury, Dialect: Pochury",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
295,Secha Mount,"Chiechama Metha clan, Kohima",India,25.801667|94.142333,Forest,"Tribe: Angami, Dialect: Tenyidie",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
296,Sekie,"Noklak Village, Tuensang",India,26.201401|95.016708,Forest,"Tribe: Khiamniungan, Dialect: Khiamniungan",1990,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
297,Selephao,"Longphoh, Mon",India,26.758611|95.120583,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
298,Senupfhu,"Thetsumi, Phek",India,25.552983|94.396667,Forest,"Tribe: Chakhesang, Dialect: Khuzhale Khezha",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
299,Sethankvu,"Nangying, Wokha",India,26.160611|94.312917,Forest,"Tribe: Lotha, Dialect: Lotha",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
300,Sham,Mongtikang,India,26.728889|94.610028,Forest,,,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
301,Shampoktong,"N.Longchum, Wokha",India,26.595556|94.592778,Forest,"Tribe: Lotha, Dialect: Lotha",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
302,Sharali Kukile,"Old thewati, Phek",India,25.558541|94.76458,Forest,"Tribe: Pochury, Dialect: Sanphuri ( Pochury )",1947,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
303,Shatiiya,"Phor, Phek",India,25.737167|94.740583,Forest,"Tribe: Pochury, Dialect: Yisi & Pochury",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
304,Shemjila,"Yali, Tuensang",India,26.353611|94.785,Forest,"Tribe: Chang, Dialect: Chang",1985,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
305,Shemyung,"Shamnynching, Tuensang",India,26.722833|94.752217,Forest,"Tribe: Phom, Dialect: Phom",1980,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
306,Shepen,"Yangpi, Tuensang",India,26.389389|94.748806,Forest,"Tribe: Chang, Dialect: Chang",1991,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
307,Sherumito,"Yehimi, Zunheboto",India,26.152972|94.617556,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
308,Shihah,"Kutsapo, Phek",India,25.728056|94.450361,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2004,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
309,"Shokkhangmew, Yinban, Kimtsuk","Wongtsuwong, Kiphire",India,25.817222|94.976111,Forest,"Tribe: Yimchunger, Dialect: Yimchunger",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
310,Shopnung,"Wanching, Mon",India,26.660223|94.847931,Forest,"Tribe: Konyak, Dialect: Konyak",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
311,Shutakshu,"Mangakhi, Tuensang",India,26.232139|94.61725,Forest,"Tribe: Sangtam, Dialect: Sangtam",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
312,Shutishing,"Tamlu, Tuensang",India,26.662417|94.728694,Forest,"Tribe: Phom, Dialect: Phom",1990,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
313,Shuyen,"Kangching, Tuensang",India,26.643417|94.713556,Forest,"Tribe: Phom, Dialect: Phom",1995,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
314,Sikituang,"Old Ngoulong Village, Peren",India,25.319194|93.476278,Forest,"Tribe: Zeliang, Dialect: Zeme",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
315,Singkongkyu,"Angangba, Tuensang",India,26.2155|94.695306,Forest,"Tribe: Sangtam, Dialect: Sangtam",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
316,Singsi Murong,"Singsi (Shishimi), Kiphire",India,25.826389|94.631111,Forest,"Tribe: Sangtam, Dialect: Sangtam",2002,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
317,Sirneb Pok,"Ungma, Mokokchung",India,26.294414|94.501869,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
318,Sogang,"Old Soget, Peren",India,25.464333|93.517361,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
319,Sojet,"Tsg ( L ), Tuensang",India,26.289917|94.834444,Forest,"Tribe: Chang, Dialect: Chang",2005,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
320,Songou,"Songou, Peren",India,25.535207|93.517575,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
321,Sovekrola,"Phusachodu, Phek",India,25.60625|94.253444,Forest,"Tribe: Chakhesang, Dialect: Chokri",2006,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
322,Sung Lu,"Anaki C, Mokokchung",India,26.760083|94.735889,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
323,Sunglanu Lu,"Anakiyimsen, Mokokchung",India,26.322036|94.513463,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
324,Sungtu,"Vongkitham, Peren",India,25.599389|93.589306,Forest,"Tribe: Kuki, Dialect: Kuki",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
325,Suptsu Lu,"Longpa, Mokokchung",India,26.422669|94.523989,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
326,Tabam,"Shangnyu, Mon",India,26.773389|95.140056,Forest,,2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
327,Tajiihu,"Hutsii, Phek",India,25.702639|94.734806,Forest,"Tribe: Pochury, Dialect: Yisi",2010,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
328,Tali Valley,"Saring, Mokokchung",India,26.614444|94.489444,Forest,"Tribe: Ao, Dialect: Ao",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
329,Tapu Kuda,"Phishumi, Zunheboto",India,26.151222|94.41675,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
330,Tebidui ewak,"Old Tesen, Peren",India,25.468583|93.668222,Forest,"Tribe: Zeliang, Dialect: Zeliang",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
331,Tebuh,"Chenloishu, Mon",India,26.547167|95.081556,Forest,"Tribe: Konyak, Dialect: Chen",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
332,Tejenko,"Tsongphong, Kiphire",India,25.898889|94.6925,Forest,"Tribe: Sangtam, Dialect: Sangtam, Sumi",1985,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
333,Telao,"Kenchenshu, Wokha",India,26.455889|94.989917,Forest,"Tribe: Konyak, Dialect: Konyak",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
334,Terheizie,"Thizama, Kohima",India,25.747361|94.115417,Forest,"Tribe: Angami, Dialect: Tenyidie",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
335,Teshokhuzhu,"Medziphema Kuotsu Clan, Dimapur",India,25.737911|93.805561,Forest,"Tribe: Angami, Dialect: Tenyidie",2012,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
336,Thampangho,"Leangnyu, Mon",India,26.746722|95.00425,Forest,"Tribe: Konyak, Dialect: Konyak",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
337,Thamyijunyi,"Oting, Mon",India,26.722076|95.029206,Forest,"Tribe: Konyak, Dialect: Konyak",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
338,Therosiigii Community Forests,"Khulazu Basa, Phek",India,25.6555|94.280444,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
339,"Thiivopisiimi, Dziidiiri Conservation ( TDC )","Thiivopisii, Phek",India,25.706389|94.344417,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2009,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
340,Thikapu,"Kikruma, Phek",India,25.581944|94.221333,Forest,"Tribe: Chakhesang, Dialect: Chokri",1999,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
341,Thisaprii,"Chesezu Nasa, Phek",India,25.682444|94.277389,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
342,Thizaboii,"Chesezu Nasa, Phek",India,25.682444|94.277389,Forest,"Tribe: Chakhesang, Dialect: Chokri ( Chakhesang )",2008,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
343,Thsinga murong,"Thsingar, Kiphire",India,25.886944|94.704722,Forest,"Tribe: Yimchunger, Dialect: Yimchunger and Chirr",2000,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
344,Thsuruhu Ghoki,"Thsuruhu, Zunheboto",India,25.896056|94.476278,Forest,"Tribe: Sumi, Dialect: Sumi",-,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
345,Thureke Langyang,"Phelunger, Kiphire",India,25.9225|94.815278,Forest,"Tribe: Tikhir, Dialect: Tikhir",1995,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
346,Tiizhimiisii,"Akhen, Phek",India,25.51215|94.633694,Forest,"Tribe: Pochury, Dialect: Pochury, Kuki",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
347,Tilutsam,"Phokhungri, Phek",India,25.605111|94.834889,Forest,"Tribe: Pochury, Dialect: Laruri ( Pochury )",2001,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
348,Tinghongpan,"Totok Chingha, Mon",India,26.52903|95.006111,Forest,"Tribe: Konyak, Dialect: Konyak",2013,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
349,Tohnyu,"Pukha, Mon",India,26.7465|95.213556,Forest,"Tribe: Konyak, Dialect: Konyak & Pukha",2014,From publicly available sources,"Documentation of Community Conserved Areas of Nagaland submitted to Department of Environment, Forests & Climate Change Government of Nagaland by The Energy and Resources Institute (TERI), Oct 2015",,,,,,,,,,,,,,,
